2015-04-08,07:01:59 2015-04-08,07:18:39	126992483119	126992
2015-04-08,07:18:39 2015-04-08,07:35:19	93722217176	93722
2015-04-08,07:35:19 2015-04-08,07:51:59	144485586315	144485
2015-04-08,07:51:59 2015-04-08,08:08:39	103652622548	103652
2015-04-08,08:08:39 2015-04-08,08:25:19	142178033402	142178
2015-04-08,08:25:19 2015-04-08,08:41:59	162301230325	162301
2015-04-08,08:41:59 2015-04-08,08:58:39	155291255380	155291
2015-04-08,08:58:39 2015-04-08,09:15:19	135663393457	135663
2015-04-08,09:15:19 2015-04-08,09:31:59	143183890018	143183
2015-04-08,09:31:59 2015-04-08,09:48:39	132465577890	132465
2015-04-08,09:48:39 2015-04-08,10:05:19	136617464784	136617
2015-04-08,10:05:19 2015-04-08,10:21:59	118428598041	118428
2015-04-08,10:21:59 2015-04-08,10:38:39	129939768842	129939
2015-04-08,10:38:39 2015-04-08,10:55:19	117487624020	117487
2015-04-08,10:55:19 2015-04-08,11:11:59	119126930870	119126
2015-04-08,11:11:59 2015-04-08,11:28:39	102077699988	102077
2015-04-08,11:28:39 2015-04-08,11:45:19	127369755564	127369
2015-04-08,11:45:19 2015-04-08,12:01:59	106848641206	106848
2015-04-08,12:01:59 2015-04-08,12:18:39	122656363177	122656
2015-04-08,12:18:39 2015-04-08,12:35:19	120092649374	120092
2015-04-08,12:35:19 2015-04-08,12:51:59	120490801079	120490
2015-04-08,12:51:59 2015-04-08,13:08:39	107088597198	107088
2015-04-08,13:08:39 2015-04-08,13:25:19	129274111714	129274
2015-04-08,13:25:19 2015-04-08,13:41:59	261838828612	261838
2015-04-08,13:41:59 2015-04-08,13:58:39	145006747651	145006
2015-04-08,13:58:39 2015-04-08,14:15:19	137120680454	137120
2015-04-08,14:15:19 2015-04-08,14:31:59	112471067557	112471
2015-04-08,14:31:59 2015-04-08,14:48:39	188041671064	188041
2015-04-08,14:48:39 2015-04-08,15:05:19	154666753132	154666
2015-04-08,15:05:19 2015-04-08,15:21:59	112438432422	112438
2015-04-08,15:21:59 2015-04-08,15:38:39	134023455943	134023
2015-04-08,15:38:39 2015-04-08,15:55:19	180830148574	180830
2015-04-08,15:55:19 2015-04-08,16:11:59	188996834447	188996
2015-04-08,16:11:59 2015-04-08,16:28:39	140821893748	140821
2015-04-08,16:28:39 2015-04-08,16:45:19	87950420022	87950
2015-04-08,16:45:19 2015-04-08,17:01:59	140804630031	140804
2015-04-08,17:01:59 2015-04-08,17:18:39	93436218023	93436
2015-04-08,17:18:39 2015-04-08,17:35:19	91101865795	91101
2015-04-08,17:35:19 2015-04-08,17:51:59	111806423793	111806
2015-04-08,17:51:59 2015-04-08,18:08:39	82857742784	82857
2015-04-08,18:08:39 2015-04-08,18:25:19	57180549320	57180
2015-04-08,18:25:19 2015-04-08,18:41:59	64379989323	64379
2015-04-08,18:41:59 2015-04-08,18:58:39	82527996036	82527
2015-04-08,18:58:39 2015-04-08,19:15:19	68060032386	68060
2015-04-08,19:15:19 2015-04-08,19:31:59	69566155497	69566
2015-04-08,19:31:59 2015-04-08,19:48:39	82504649401	82504
2015-04-08,19:48:39 2015-04-08,20:05:19	71424760697	71424
2015-04-08,20:05:19 2015-04-08,20:21:59	91834618292	91834
2015-04-08,20:21:59 2015-04-08,20:38:39	75697181718	75697
2015-04-08,20:38:39 2015-04-08,20:55:19	71715330989	71715
2015-04-08,20:55:19 2015-04-08,21:11:59	62560090722	62560
2015-04-08,21:11:59 2015-04-08,21:28:39	51592044250	51592
2015-04-08,21:28:39 2015-04-08,21:45:19	60682868857	60682
