15474 103
25054 110
16638 111
16393 118
11972 123
22661 123
11641 126
17610 126
17615 128
16411 139
17531 142
18374 143
18999 148
19267 151
23242 158
18487 162
18250 169
20054 188
16365 197
17505 197
21124 225
25481 229
25888 236
21670 239
20734 241
20478 243
22437 246
21076 252
16852 255
21550 296
19136 306
23390 309
23489 316
25137 317
24784 323
28554 341
10197 350
26559 350
40792 362
18457 376
28611 377
53376 380
22809 427
25855 427
31404 437
48133 469
95718 475
24464 509
40427 524
19686 603
52044 640
59584 707
33065 859
55122 931
45903 1041
32208 1045
43802 1135
55229 1165
50900 1242
84945 1282
65853 1297
55414 1303
38535 1347
81041 1354
73340 1369
55087 1371
57215 1382
46978 1393
44887 1416
43429 1424
56996 1433
54435 1463
51956 1464
71237 1466
39637 1471
42676 1473
41170 1476
44808 1477
58863 1487
55471 1492
53922 1493
67254 1503
47511 1509
65048 1528
47369 1546
131263 1580
105583 1620
